,sentence,label
683,true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable . ,positive
684,"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",positive
685,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . ,positive
686,"more romantic , more emotional and ultimately more satisfying than the teary-eyed original . ",positive
687,"this is a shameless sham , calculated to cash in on the popularity of its stars . ",negative
688,"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever . ",negative
689,"once the 50 year old benigni appears as the title character , we find ourselves longing for the block of wood to come back . ",negative
690,"stultifyingly , dumbfoundingly , mind-numbingly bad . ",negative
691,"an effectively creepy , fear-inducing ( not fear-reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it . ",positive
692,"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",negative
693,"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling . ",negative
694,no aspirations to social import inform the movie version . ,negative
695,"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . ",negative
696,"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars . ",positive
697,not since tom cruise in risky business has an actor made such a strong impression in his underwear . ,positive
698,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ",positive
699,"... routine , harmless diversion and little else . ",positive
700,"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? ",negative
701,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy . ",negative
702,"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . ",negative
703,"samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal ",negative
704,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ... ,negative
705,"every time you look , sweet home alabama is taking another bummer of a wrong turn . ",negative
706,how do you spell cliché ? ,negative
707,no telegraphing is too obvious or simplistic for this movie . ,negative
708,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",positive
709,i thought my own watch had stopped keeping time as i slogged my way through clockstoppers . ,negative
710,"less dizzying than just dizzy , the jaunt is practically over before it begins . ",negative
711,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube . ,negative
712,they should have called it gutterball . ,negative
713,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,negative
714,( a ) n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s . ,positive
715,"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging . ",negative
716,"wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . ",negative
717,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,positive
718,"this is human comedy at its most amusing , interesting and confirming . ",positive
719,"whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting . ",negative
720,worth watching for dong jie 's performance -- and for the way it documents a culture in the throes of rapid change . ,positive
721,"a poignant , artfully crafted meditation on mortality . ",positive
722,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",negative
723,"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances . ",positive
724,it 's everything you do n't go to the movies for . ,negative
725,"( grant 's ) bumbling magic takes over the film , and it turns out to be another winning star vehicle . ",positive
726,"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right . ",positive
727,"velocity represents everything wrong with '' independent film '' as a commodified , sold-out concept on the american filmmaking scene . ",negative
728,"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck . ",positive
729,the piece plays as well as it does thanks in large measure to anspaugh 's three lead actresses . ,positive
730,"suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by hollywood . ",negative
731,but what are adults doing in the theater at all ? ,negative
732,like being trapped at a perpetual frat party ... how can something so gross be so boring ? ,negative
733,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",negative
734,this is n't even madonna 's swept away . ,negative
735,the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . ,negative
736,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,negative
737,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor . ,positive
738,... a magnificent drama well worth tracking down . ,positive
739,"oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century . ",positive
740,"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . ",positive
741,but it still jingles in the pocket . ,positive
742,"it 's a demented kitsch mess ( although the smeary digital video does match the muddled narrative ) , but it 's savvy about celebrity and has more guts and energy than much of what will open this year . ",positive
743,"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this . ",negative
744,one from the heart . ,positive
745,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,negative
746,people cinema at its finest . ,positive
747,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ",positive
748,"and when you 're talking about a slapstick comedy , that 's a pretty big problem . ",negative
749,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,positive
750,"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle . ",negative
751,one long string of cliches . ,negative
752,like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter . ,negative
753,it 's hard to imagine alan arkin being better than he is in this performance . ,positive
754,the film will play equally well on both the standard and giant screens . ,positive
755,"... a fun little timewaster , helped especially by the cool presence of jean reno . ",positive
756,something like scrubbing the toilet . ,negative
757,there 's enough melodrama in this magnolia primavera to make pta proud yet director muccino 's characters are less worthy of puccini than they are of daytime television . ,negative
758,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",positive
759,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ",negative
760,"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",positive
761,"the result is a gaudy bag of stale candy , something from a halloween that died . ",negative
762,it 's a lovely film with lovely performances by buy and accorsi . ,positive
763,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ",positive
764,"movie fans , get ready to take off ... the other direction . ",negative
765,not an objectionable or dull film ; it merely lacks everything except good intentions . ,negative
766,"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving . ",positive
767,a film about a young man finding god that is accessible and touching to the marrow . ,positive
768,a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession . ,positive
769,an infectious cultural fable with a tasty balance of family drama and frenetic comedy . ,positive
770,i do n't think i laughed out loud once . ,negative
771,"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",negative
772,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit . ",positive
773,it 's a beautiful madness . ,positive
774,"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",negative
775,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . ,negative
776,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ",negative
777,"by candidly detailing the politics involved in the creation of an extraordinary piece of music , ( jones ) calls our attention to the inherent conflict between commerce and creativity . ",positive
778,one of the most significant moviegoing pleasures of the year . ,positive
779,"prurient playthings aside , there 's little to love about this english trifle . ",negative
780,a grimly competent and stolid and earnest military courtroom drama . ,positive
781,at once half-baked and overheated . ,negative
782,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned . ,positive
783,the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,positive
784,very psychoanalytical -- provocatively so -- and also refreshingly literary . ,positive
785,"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better . ",positive
786,the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life . ,negative
787,a valueless kiddie paean to pro basketball underwritten by the nba . ,negative
788,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ",positive
789,"it 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker . ",negative
790,that 's a cheat . ,negative
791,"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",negative
792,it 's fun lite . ,positive
793,"... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume . ",positive
794,it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,positive
795,"the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment . ",negative
796,"a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz . ",positive
797,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ",negative
798,"though moonlight mile is replete with acclaimed actors and actresses and tackles a subject that 's potentially moving , the movie is too predictable and too self-conscious to reach a level of high drama . ",negative
799,"a tender , witty , captivating film about friendship , love , memory , trust and loyalty . ",positive
800,"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . ",negative
801,"this film seems thirsty for reflection , itself taking on adolescent qualities . ",negative
802,this nickleby thing might have more homosexual undertones than an eddie murphy film . ,negative
803,bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,positive
804,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",negative
805,"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater . ",negative
806,griffiths proves she 's that rare luminary who continually raises the standard of her profession . ,positive
807,"just as moving , uplifting and funny as ever . ",positive
808,enormously entertaining for moviegoers of any age . ,positive
809,"a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures . ",positive
810,"this is a good script , good dialogue , funny even for adults . ",positive
811,the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,negative
812,this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . ,positive
813,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . ,negative
814,"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",negative
815,a delightful coming-of-age story . ,positive
816,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe . ",positive
817,a strangely compelling and brilliantly acted psychological drama . ,positive
818,the only excitement comes when the credits finally roll and you get to leave the theater . ,negative
819,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",negative
820,"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ",positive
821,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ",positive
822,it 's a buggy drag . ,negative
823,it wants to tweak them with a taste of tangy new humor . ,positive
824,late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet . ,negative
825,candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,positive
826,a quiet treasure -- a film to be savored . ,positive
827,"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting . ",negative
828,"this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing . ",negative
829,teen movies have really hit the skids . ,negative
830,"woody allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz . ",positive
831,it 's made with deftly unsettling genre flair . ,positive
832,manages to show life in all of its banality when the intention is quite the opposite . ,negative
833,"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine . ",negative
834,collateral damage finally delivers the goods for schwarzenegger fans . ,positive
835,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn . ,positive
836,"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",negative
837,will amuse and provoke adventurous adults in specialty venues . ,positive
838,sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest . ,negative
839,but this films lacks the passion required to sell the material . ,negative
840,"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . ",negative
841,there 's a wickedly subversive bent to the best parts of birthday girl . ,positive
842,"a better title , for all concerned , might be swept under the rug . ",negative
843,a wildly inconsistent emotional experience . ,negative
844,"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . ",negative
845,"despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine . ",negative
846,"an absurdist comedy about alienation , separation and loss . ",negative
847,"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",positive
848,his healthy sense of satire is light and fun ... ,positive
849,trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son . ,positive
850,"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness . ",positive
851,"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",negative
852,part low rent godfather . ,negative
853,"( serry ) wants to blend politics and drama , an admirable ambition . ",positive
854,"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution . ",negative
855,it 's fascinating to see how bettany and mcdowell play off each other . ,positive
856,"in a way , the film feels like a breath of fresh air , but only to those that allow it in . ",positive
857,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",positive
858,the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip . ,positive
859,"add yet another hat to a talented head , clooney 's a good director . ",positive
860,"stephen rea , aidan quinn , and alan bates play desmond 's legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , ` tis . ",positive
861,"bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",positive
862,"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",negative
863,"while it 's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences . ",negative
864,"dull , lifeless , and amateurishly assembled . ",negative
865,"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",positive
866,"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past . ",positive
867,has all the depth of a wading pool . ,negative
868,a movie with a real anarchic flair . ,positive
869,a subject like this should inspire reaction in its audience ; the pianist does not . ,negative
870,... is an arthritic attempt at directing by callie khouri . ,negative
871,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ",positive
